,production,hour
0,0.0,0
1,0.0,1
2,0.0,2
3,0.0,3
4,0.0,4
5,0.0,5
6,0.0,6
7,0.0,7
8,0.0,8
9,1202.576,9
10,41707.561,10
11,84968.474,11
12,86484.434,12
13,60071.665,13
14,20450.468,14
15,695.512,15
16,0.0,16
17,0.0,17
18,0.0,18
19,0.0,19
20,0.0,20
21,0.0,21
22,0.0,22
23,0.0,23
24,0.0,0
25,0.0,1
26,0.0,2
27,0.0,3
28,0.0,4
29,0.0,5
30,0.0,6
31,0.0,7
32,0.0,8
33,16275.312,9
34,70162.694,10
35,101358.832,11
36,90185.822,12
37,57576.003,13
38,19457.571,14
39,718.075,15
40,0.0,16
41,0.0,17
42,0.0,18
43,0.0,19
44,0.0,20
45,0.0,21
46,0.0,22
47,0.0,23
48,0.0,0
49,0.0,1
50,0.0,2
51,0.0,3
52,0.0,4
53,0.0,5
54,0.0,6
55,0.0,7
56,0.0,8
57,5470.505,9
58,64637.094,10
59,101539.556,11
60,96039.035,12
61,56828.923,13
62,26044.416,14
63,0.0,15
64,0.0,16
65,0.0,17
66,0.0,18
67,0.0,19
68,0.0,20
69,0.0,21
70,0.0,22
71,0.0,23
72,0.0,0
73,0.0,1
74,0.0,2
75,0.0,3
76,0.0,4
77,0.0,5
78,0.0,6
79,0.0,7
80,0.0,8
81,23272.915,9
82,78273.037,10
83,108192.912,11
84,99676.514,12
85,60929.167,13
86,21448.646,14
87,1719.042,15
88,0.0,16
89,0.0,17
90,0.0,18
91,0.0,19
92,0.0,20
93,0.0,21
94,0.0,22
95,0.0,23
96,0.0,0
97,0.0,1
98,0.0,2
99,0.0,3
100,0.0,4
101,0.0,5
102,0.0,6
103,0.0,7
104,0.0,8
105,24800.426,9
106,80004.456,10
107,107339.599,11
108,96762.984,12
109,58565.206,13
110,23874.915,14
111,1276.882,15
112,0.0,16
113,0.0,17
114,0.0,18
115,0.0,19
116,0.0,20
117,0.0,21
118,0.0,22
119,0.0,23
120,0.0,0
121,0.0,1
122,0.0,2
123,0.0,3
124,0.0,4
125,0.0,5
126,0.0,6
127,0.0,7
128,0.0,8
129,6701.481,9
130,34401.423,10
131,52631.424,11
132,55379.589,12
133,48431.646,13
134,24791.208,14
135,223.507,15
136,0.0,16
137,0.0,17
138,0.0,18
139,0.0,19
140,0.0,20
141,0.0,21
142,0.0,22
143,0.0,23
144,0.0,0
145,0.0,1
146,0.0,2
147,0.0,3
148,0.0,4
149,0.0,5
150,0.0,6
151,0.0,7
152,0.0,8
153,2533.071,9
154,18456.088,10
155,29514.546,11
156,31277.399,12
157,24447.132,13
158,10918.26,14
159,0.0,15
160,0.0,16
161,0.0,17
162,0.0,18
163,0.0,19
164,0.0,20
165,0.0,21
166,0.0,22
167,0.0,23
168,0.0,0
169,0.0,1
170,0.0,2
171,0.0,3
172,0.0,4
173,0.0,5
174,0.0,6
175,0.0,7
176,0.0,8
177,7877.444,9
178,36561.068,10
179,55092.946,11
180,57945.515,12
181,46281.446,13
182,21792.033,14
183,0.0,15
184,0.0,16
185,0.0,17
186,0.0,18
187,0.0,19
188,0.0,20
189,0.0,21
190,0.0,22
191,0.0,23
192,0.0,0
193,0.0,1
194,0.0,2
195,0.0,3
196,0.0,4
197,0.0,5
198,0.0,6
199,0.0,7
200,0.0,8
201,2934.054,9
202,26390.732,10
203,49200.588,11
204,61057.494,12
205,41450.21,13
206,16091.887,14
207,0.0,15
208,0.0,16
209,0.0,17
210,0.0,18
211,0.0,19
212,0.0,20
213,0.0,21
214,0.0,22
215,0.0,23
216,0.0,0
217,0.0,1
218,0.0,2
219,0.0,3
220,0.0,4
221,0.0,5
222,0.0,6
223,0.0,7
224,0.0,8
225,25010.632,9
226,75314.281,10
227,101426.447,11
228,91584.388,12
229,69319.065,13
230,35430.361,14
231,3692.49,15
